school_year,division_number,division_name,school_number,school_name,ft_count,pt_count,total_count
2021-2022,136,Chesapeake City,971,Truitt Intermediate,263,NA,263
2021-2022,136,Chesapeake City,840,Western Branch High,2134,NA,2134
2021-2022,136,Chesapeake City,810,Western Branch Intermediate,741,NA,741
2021-2022,136,Chesapeake City,740,Western Branch Middle,910,NA,910
2021-2022,136,Chesapeake City,110,Western Branch Primary,749,NA,749
2021-2022,21,Chesterfield County,620,A.M. Davis Elementary,712,NA,712
2021-2022,21,Chesterfield County,861,Alberta Smith Elementary,627,NA,627
2021-2022,21,Chesterfield County,631,Bailey Bridge Middle,1567,2,1569
2021-2022,21,Chesterfield County,660,Bellwood Elementary,489,NA,489
2021-2022,21,Chesterfield County,430,Bensley Elementary,613,NA,613
2021-2022,21,Chesterfield County,510,Bettie Weaver Elementary,582,NA,582
2021-2022,21,Chesterfield County,130,Beulah Elementary,967,NA,967
2021-2022,21,Chesterfield County,20,Bon Air Elementary,591,NA,591
2021-2022,21,Chesterfield County,50,C.C. Wells Elementary,642,NA,642
2021-2022,21,Chesterfield County,492,C.E. Curtis Elementary,674,NA,674
2021-2022,21,Chesterfield County,30,Carver College and Career Academy,210,NA,210
2021-2022,21,Chesterfield County,420,Carver Middle,1075,2,1077
2021-2022,21,Chesterfield County,33,Chester Early Childhood Learning Academy,345,NA,345
2021-2022,21,Chesterfield County,150,Clover Hill Elementary,784,NA,784
2021-2022,21,Chesterfield County,740,Clover Hill High,1792,4,1796
2021-2022,21,Chesterfield County,840,Cosby High,2330,1,2331
2021-2022,21,Chesterfield County,560,Crestwood Elementary,588,NA,588
2021-2022,21,Chesterfield County,480,Ecoff Elementary,740,NA,740
2021-2022,21,Chesterfield County,870,Elizabeth Davis Middle,1275,3,1278
2021-2022,21,Chesterfield County,850,Elizabeth Scott Elementary,786,NA,786
2021-2022,21,Chesterfield County,390,Enon Elementary,751,NA,751
2021-2022,21,Chesterfield County,350,Ettrick Elementary,490,NA,490
2021-2022,21,Chesterfield County,300,Evergreen Elementary,864,NA,864
2021-2022,21,Chesterfield County,590,Falling Creek Elementary,793,NA,793
2021-2022,21,Chesterfield County,670,Falling Creek Middle,1469,NA,1469
2021-2022,21,Chesterfield County,180,Grange Hall Elementary,886,NA,886
2021-2022,21,Chesterfield County,70,Greenfield Elementary,492,NA,492
2021-2022,21,Chesterfield County,460,Harrowgate Elementary,457,NA,457
2021-2022,21,Chesterfield County,60,Hopkins Road Elementary,743,NA,743
2021-2022,21,Chesterfield County,550,J.A. Chalkley Elementary,814,NA,814
2021-2022,21,Chesterfield County,650,J.B. Watkins Elementary,791,NA,791
2021-2022,21,Chesterfield County,500,J.G. Hening Elementary,817,NA,817
2021-2022,21,Chesterfield County,400,Jacobs Road Elementary,695,NA,695
2021-2022,21,Chesterfield County,770,James River High,1915,5,1920
2021-2022,21,Chesterfield County,10,Lloyd C. Bird High,1820,NA,1820
2021-2022,21,Chesterfield County,632,Manchester High,2206,8,2214
2021-2022,21,Chesterfield County,600,Manchester Middle,1126,NA,1126
2021-2022,21,Chesterfield County,780,Marguerite F. Christian Elementary,652,NA,652
2021-2022,21,Chesterfield County,370,Matoaca Elementary,575,NA,575
2021-2022,21,Chesterfield County,530,Matoaca High,1650,2,1652
2021-2022,21,Chesterfield County,110,Matoaca Middle,918,1,919
2021-2022,21,Chesterfield County,580,Meadowbrook High,2091,1,2092
2021-2022,21,Chesterfield County,320,Midlothian High,1990,4,1994
2021-2022,21,Chesterfield County,40,Midlothian Middle,1353,NA,1353
2021-2022,21,Chesterfield County,280,Monacan High,1608,4,1612
2021-2022,21,Chesterfield County,360,O.B. Gates Elementary,555,NA,555
2021-2022,21,Chesterfield County,90,Old Hundred Elementary,906,NA,906
2021-2022,21,Chesterfield County,380,Providence Elementary,626,NA,626
2021-2022,21,Chesterfield County,690,Providence Middle,1048,NA,1048
2021-2022,21,Chesterfield County,700,Reams Road Elementary,560,NA,560
2021-2022,21,Chesterfield County,730,Robious Elementary,663,NA,663
2021-2022,21,Chesterfield County,760,Robious Middle,1151,2,1153
2021-2022,21,Chesterfield County,720,Salem Church Elementary,518,NA,518
2021-2022,21,Chesterfield County,722,Salem Church Middle,891,NA,891
2021-2022,21,Chesterfield County,800,Spring Run Elementary,876,NA,876
2021-2022,21,Chesterfield County,340,Swift Creek Elementary,620,1,621
2021-2022,21,Chesterfield County,270,Swift Creek Middle,1108,NA,1108
2021-2022,21,Chesterfield County,410,Thelma Crenshaw Elementary,673,NA,673
2021-2022,21,Chesterfield County,610,Thomas Dale High,2561,12,2573
2021-2022,21,Chesterfield County,880,Tomahawk Creek Middle,1628,NA,1628
2021-2022,21,Chesterfield County,290,W.W. Gordon Elementary,581,NA,581
2021-2022,21,Chesterfield County,860,Winterpock Elementary,1307,2,1309
2021-2022,21,Chesterfield County,440,Woolridge Elementary,818,1,819
2021-2022,22,Clarke County,250,Boyce Elementary,307,NA,307
2021-2022,22,Clarke County,10,Clarke County High,680,NA,680
2021-2022,22,Clarke County,290,D.G. Cooley Elementary,431,NA,431
