school_year,division_number,ft_count,pt_count,total_count,locality_grouping,region_name,region_number,division_name,n_disadv_students,school_number,sch_id,school_name
2022-2023,131,11387,255,11642,division,Tidewater,2,Williamsburg-James City County,4081,NA,NA,NA
2022-2023,132,4268,NA,4268,division,Northern Virginia,4,Winchester City,2616,NA,NA,NA
2022-2023,096,5913,NA,5913,division,Southwest,7,Wise County,3548,NA,NA,NA
2022-2023,097,3879,1,3880,division,Southwest,7,Wythe County,1898,NA,NA,NA
2022-2023,098,12642,315,12957,division,Tidewater,2,York County,3722,NA,NA,NA
2023-2024,001,4726,NA,4726,division,Tidewater,2,Accomack County,2600,NA,NA,NA
2023-2024,002,13821,14,13835,division,Valley,5,Albemarle County,4197,NA,NA,NA
2023-2024,101,16415,24,16439,division,Northern Virginia,4,Alexandria City,10981,NA,NA,NA
2023-2024,003,2835,1,2836,division,Western Virginia,6,Alleghany County,1273,NA,NA,NA
2023-2024,004,1606,NA,1606,division,Southside,8,Amelia County,849,NA,NA,NA
2023-2024,005,3965,NA,3965,division,Valley,5,Amherst County,2062,NA,NA,NA
2023-2024,006,2372,NA,2372,division,Southside,8,Appomattox County,1194,NA,NA,NA
2023-2024,007,27534,2,27536,division,Northern Virginia,4,Arlington County,7664,NA,NA,NA
2023-2024,008,10139,5,10144,division,Valley,5,Augusta County,4276,NA,NA,NA
2023-2024,009,509,NA,509,division,Valley,5,Bath County,271,NA,NA,NA
2023-2024,010,9061,NA,9061,division,Valley,5,Bedford County,3672,NA,NA,NA
2023-2024,011,793,NA,793,division,Southwest,7,Bland County,427,NA,NA,NA
2023-2024,012,4488,NA,4488,division,Western Virginia,6,Botetourt County,1523,NA,NA,NA
2023-2024,102,2154,NA,2154,division,Southwest,7,Bristol City,1394,NA,NA,NA
2023-2024,013,1395,NA,1395,division,Southside,8,Brunswick County,1074,NA,NA,NA
2023-2024,014,2378,NA,2378,division,Southwest,7,Buchanan County,1359,NA,NA,NA
2023-2024,015,1966,NA,1966,division,Southside,8,Buckingham County,1183,NA,NA,NA
2023-2024,103,856,NA,856,division,Valley,5,Buena Vista City,463,NA,NA,NA
2023-2024,016,7896,NA,7896,division,Valley,5,Campbell County,3833,NA,NA,NA
2023-2024,017,4564,NA,4564,division,Northern Neck,3,Caroline County,2248,NA,NA,NA
2023-2024,018,3442,2,3444,division,Southwest,7,Carroll County,1982,NA,NA,NA
2023-2024,019,530,NA,530,division,Central Virginia,1,Charles City County,282,NA,NA,NA
2023-2024,020,1705,NA,1705,division,Southside,8,Charlotte County,982,NA,NA,NA
2023-2024,104,4433,11,4444,division,Valley,5,Charlottesville City,2805,NA,NA,NA
2023-2024,136,40640,NA,40640,division,Tidewater,2,Chesapeake City,11905,NA,NA,NA
2023-2024,021,64132,51,64183,division,Central Virginia,1,Chesterfield County,20975,NA,NA,NA
2023-2024,022,1921,3,1924,division,Northern Virginia,4,Clarke County,615,NA,NA,NA
2023-2024,202,605,NA,605,division,Northern Neck,3,Colonial Beach,356,NA,NA,NA
2023-2024,106,2931,NA,2931,division,Central Virginia,1,Colonial Heights City,1671,NA,NA,NA
2023-2024,023,470,NA,470,division,Western Virginia,6,Craig County,246,NA,NA,NA
2023-2024,024,8368,NA,8368,division,Northern Virginia,4,Culpeper County,3763,NA,NA,NA
2023-2024,025,1233,NA,1233,division,Southside,8,Cumberland County,536,NA,NA,NA
2023-2024,108,5580,NA,5580,division,Western Virginia,6,Danville City,4426,NA,NA,NA
2023-2024,026,1883,NA,1883,division,Southwest,7,Dickenson County,1224,NA,NA,NA
2023-2024,027,4258,NA,4258,division,Central Virginia,1,Dinwiddie County,2431,NA,NA,NA
2023-2024,028,1163,NA,1163,division,Northern Neck,3,Essex County,812,NA,NA,NA
2023-2024,029,180947,23,180970,division,Northern Virginia,4,Fairfax County,69724,NA,NA,NA
2023-2024,109,2616,NA,2616,division,Northern Virginia,4,Falls Church City,305,NA,NA,NA
2023-2024,030,10845,NA,10845,division,Northern Virginia,4,Fauquier County,3494,NA,NA,NA
2023-2024,031,1713,NA,1713,division,Western Virginia,6,Floyd County,744,NA,NA,NA
