label,locality_grouping,name,value
Lloyd C. Bird High,school,staff_per_1k_students,5.154639175257732
Manchester High,school,pct_disadv,39.90191707534552
Manchester High,school,staff_per_1k_students,4.012483281319661
Manchester Middle,school,pct_disadv,52.66005410279531
Manchester Middle,school,staff_per_1k_students,6.311992786293959
Matoaca High,school,pct_disadv,43.611793611793615
Matoaca High,school,staff_per_1k_students,4.914004914004914
Matoaca Middle,school,pct_disadv,44.97422680412371
Matoaca Middle,school,staff_per_1k_students,6.443298969072164
Meadowbrook High,school,pct_disadv,58.772378516624045
Meadowbrook High,school,staff_per_1k_students,6.138107416879795
Midlothian High,school,pct_disadv,16.61793372319688
Midlothian High,school,staff_per_1k_students,4.385964912280701
Midlothian Middle,school,pct_disadv,16.003005259203608
Midlothian Middle,school,staff_per_1k_students,5.259203606311044
Monacan High,school,pct_disadv,38.62530413625304
Monacan High,school,staff_per_1k_students,4.866180048661801
Providence Middle,school,pct_disadv,62.66924564796905
Providence Middle,school,staff_per_1k_students,5.802707930367505
Robious Middle,school,pct_disadv,29.972247918593897
Robious Middle,school,staff_per_1k_students,5.550416281221091
Salem Church Middle,school,pct_disadv,62.02964652223489
Salem Church Middle,school,staff_per_1k_students,6.841505131128849
Swift Creek Middle,school,pct_disadv,31.53000845308538
Swift Creek Middle,school,staff_per_1k_students,5.07185122569738
Thomas Dale High,school,pct_disadv,43.07751639028153
Thomas Dale High,school,staff_per_1k_students,4.242190512919398
Tomahawk Creek Middle,school,pct_disadv,16.12121212121212
Tomahawk Creek Middle,school,staff_per_1k_students,4.242424242424243
Clarke County High,school,pct_disadv,29.721815519765737
Clarke County High,school,staff_per_1k_students,4.685212298682284
